s,x,y,theta,velocity
16.588100,0.531300,-3.066200,1.557600,4.994000
16.626300,0.531800,-3.028100,1.556500,5.017000
16.664500,0.532400,-2.989900,1.554900,5.040000
16.702700,0.533000,-2.951700,1.552600,5.063000
16.740900,0.533800,-2.913500,1.550100,5.085000
16.779100,0.534600,-2.875300,1.548100,5.108000
16.817300,0.535500,-2.837100,1.547000,5.130000
16.855500,0.536400,-2.798900,1.546800,5.152000
16.893700,0.537400,-2.760800,1.547400,5.175000
16.931800,0.538200,-2.722600,1.549000,5.140000
16.970000,0.539000,-2.684400,1.551400,5.103000
17.008200,0.539700,-2.646200,1.554700,5.065000
17.046400,0.540300,-2.608000,1.558800,5.027000
17.084600,0.540600,-2.569800,1.563900,4.989000
17.122800,0.540800,-2.531700,1.569500,4.951000
17.161000,0.540700,-2.493500,1.574800,4.974000
17.199200,0.540500,-2.455300,1.579000,4.997000
17.237400,0.540100,-2.417100,1.582300,5.020000
17.275500,0.539600,-2.378900,1.584400,5.036000
17.313700,0.539100,-2.340700,1.585500,4.998000
17.351900,0.538500,-2.302500,1.585400,4.960000
17.390100,0.537900,-2.264300,1.584300,4.921000
17.428300,0.537400,-2.226100,1.582200,4.882000
17.466500,0.537100,-2.188000,1.578900,4.843000
17.504700,0.536800,-2.149800,1.574700,4.803000
17.542900,0.536800,-2.111600,1.570400,4.763000
17.581100,0.536900,-2.073400,1.566800,4.723000
17.619300,0.537100,-2.035200,1.564000,4.683000
17.657400,0.537400,-1.997000,1.562100,4.642000
17.695600,0.537700,-1.958800,1.561000,4.600000
17.733800,0.538100,-1.920600,1.560800,4.559000
17.772000,0.538500,-1.882400,1.561400,4.516000
17.810200,0.538800,-1.844300,1.562800,4.474000
17.848400,0.539100,-1.806100,1.565100,4.431000
17.886600,0.539300,-1.767900,1.568200,4.388000
17.924800,0.539300,-1.729700,1.571200,4.344000
17.963000,0.539200,-1.691500,1.573100,4.300000
18.001200,0.539100,-1.653300,1.573800,4.255000
18.039400,0.539000,-1.615100,1.573100,4.210000
18.077600,0.539000,-1.576900,1.571100,4.164000
18.115800,0.539000,-1.538700,1.567800,4.118000
18.154000,0.539200,-1.500500,1.563200,4.072000
18.192200,0.539600,-1.462300,1.557300,4.025000
18.230400,0.540200,-1.424100,1.550100,3.977000
18.268500,0.541200,-1.386000,1.541600,3.929000
18.306700,0.542400,-1.347800,1.532800,3.958000
18.344900,0.544100,-1.309700,1.524800,3.986000
18.383100,0.545900,-1.271500,1.518200,4.015000
18.421300,0.548100,-1.233400,1.512900,4.044000
18.459500,0.550400,-1.195300,1.509000,4.072000
18.497700,0.552800,-1.157100,1.506400,4.100000
18.535900,0.555300,-1.119000,1.505200,4.128000
18.574100,0.557800,-1.080900,1.505400,4.155000
18.612300,0.560300,-1.042800,1.506800,4.183000
18.650500,0.562700,-1.004700,1.509600,4.210000
18.688700,0.564900,-0.966500,1.513300,4.237000
18.726900,0.567100,-0.928400,1.517000,4.264000
18.765000,0.569100,-0.890300,1.520300,4.291000
18.803200,0.570900,-0.852100,1.523200,4.318000
18.841400,0.572700,-0.814000,1.525700,4.344000
18.879600,0.574400,-0.775800,1.527900,4.370000
18.917800,0.576000,-0.737600,1.529600,4.397000
18.956000,0.577500,-0.699500,1.531000,4.422000
18.994200,0.579000,-0.661300,1.532000,4.448000
19.032400,0.580500,-0.623200,1.532600,4.474000
19.070600,0.581900,-0.585000,1.532900,4.500000
19.108800,0.583400,-0.546800,1.533000,4.525000
19.147000,0.584800,-0.508700,1.533000,4.550000
19.185100,0.586300,-0.470500,1.532800,4.575000
19.223300,0.587700,-0.432300,1.532600,4.600000
19.261500,0.589200,-0.394200,1.532300,4.625000
19.299700,0.590700,-0.356000,1.531900,4.650000
19.337900,0.592100,-0.317900,1.531400,4.674000
19.376100,0.593700,-0.279700,1.530800,4.699000
19.414300,0.595200,-0.241500,1.530000,4.723000
19.452500,0.596800,-0.203400,1.529200,4.747000
19.490700,0.598400,-0.165200,1.528400,4.771000
19.528900,0.600000,-0.127100,1.527600,4.795000
19.567100,0.601700,-0.088900,1.526700,4.819000
19.605200,0.603400,-0.050800,1.525900,4.843000
